year,month,date,hour,surface pressure,2meter tmp,precipitation,rain,rel humic,temperature
2012,1,1,0,102060.0,276.0,0.0,99999.0,90.03,273.57
2012,1,1,1,102020.0,275.1,0.0,99999.0,92.42,272.66
2012,1,1,2,101970.0,275.1,0.0,99999.0,91.33,272.65
2012,1,1,3,101960.0,275.40000000000003,0.0,99999.0,90.25,272.74
2012,1,1,4,101970.0,274.7,0.0,99999.0,93.84,272.41
2012,1,1,5,101920.0,275.0,0.0,99999.0,90.16,272.46
2012,1,1,6,101840.0,275.90000000000003,0.0,99999.0,86.69,270.88
2012,1,1,7,101920.0,274.5,0.0,99999.0,92.69,271.13
2012,1,1,8,101870.0,274.2,0.0,99999.0,95.11,271.55
2012,1,1,9,101880.0,275.40000000000003,0.0,99999.0,93.60000000000001,270.57
